#separator:tab
#html:true
#columns:Word	WordAudio	Meaning	Sentence	SentenceAudio	Translation	Tags
#tags column:7
<ruby>牧場<rt>ぼくじょう</rt></ruby>	牧場	farm (livestock); stock farm; ranch<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4869</div>	<ruby>大<rt>おお</rt></ruby>きな<b><ruby>牧場<rt>ぼくじょう</rt></ruby></b>を<ruby>経営<rt>けいえい</rt></ruby>してみたいな。	大きな牧場を経営してみたいな。	I'd like to run a big stock farm.	pos::noun rank::4501-5000
<ruby>牧師<rt>ぼくし</rt></ruby>	牧師	pastor; minister; clergyman<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4870</div>	<b><ruby>牧師<rt>ぼくし</rt></ruby></b>は<ruby>彼女<rt>かのじょ</rt></ruby>のキリスト<ruby>信仰<rt>しんこう</rt></ruby>の<ruby>告白<rt>こくはく</rt></ruby>を<ruby>聞<rt>き</rt></ruby>いた。	牧師は彼女のキリスト信仰の告白を聞いた。	The minister listened to her profession of Christianity.	pos::noun rank::4501-5000
<ruby>物資<rt>ぶっし</rt></ruby>	物資	goods; materials; commodities<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4871</div>	それは<b><ruby>物資<rt>ぶっし</rt></ruby></b>を<ruby>直接<rt>ちょくせつ</rt></ruby><ruby>交換<rt>こうかん</rt></ruby>する<ruby>制度<rt>せいど</rt></ruby>である。	それは物資を直接交換する制度である。	It is a system of direct exchange of goods.	pos::noun rank::4501-5000
<ruby>甲斐<rt>かい</rt></ruby>	甲斐	result (that makes an act worthwhile); worth (in doing something); value<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4872</div>	<ruby>苦心<rt>くしん</rt></ruby>の<b><ruby>甲斐<rt>かい</rt></ruby></b>があった。	苦心の甲斐があった。	That was well worth the trouble.	pos::noun rank::4501-5000
<ruby>申<rt>もう</rt></ruby>し<ruby>込<rt>こ</rt></ruby>み	申し込み	application; entry; request<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4873</div>	<ruby>彼女<rt>かのじょ</rt></ruby>はまだ<ruby>彼<rt>かれ</rt></ruby>の<ruby>結婚<rt>けっこん</rt></ruby>の<b><ruby>申<rt>もう</rt></ruby>し<ruby>込<rt>こ</rt></ruby>み</b>を<ruby>受<rt>う</rt></ruby>け<ruby>入<rt>い</rt></ruby>れていない。	彼女はまだ彼の結婚の申し込みを受け入れていない。	She has not yet accepted his proposal.	pos::noun rank::4501-5000
<ruby>男優<rt>だんゆう</rt></ruby>	男優	(male) actor<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4874</div>	トムは、<ruby>世界<rt>せかい</rt></ruby>でいちばんハンサムな<b><ruby>男優<rt>だんゆう</rt></ruby></b>だ。	トムは、世界でいちばんハンサムな男優だ。	Tom is the most handsome actor in the world.	pos::noun rank::4501-5000
<ruby>真<rt>ま</rt></ruby>っ<ruby>赤<rt>か</rt></ruby>	真っ赤	bright red; deep red; flushed (of face)<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 4875</div>	<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>顔<rt>かお</rt></ruby>は<ruby>突然<rt>とつぜん</rt></ruby><b>まっか</b>になった。	彼女の顔は突然まっかになった。	Her face turned red suddenly.	pos::na-adjective rank::4501-5000
<ruby>真理<rt>しんり</rt></ruby>	真理	truth<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4876</div>	<ruby>君<rt>きみ</rt></ruby>の<ruby>言<rt>い</rt></ruby>うことには<ruby>多<rt>おお</rt></ruby>くの<b><ruby>真理<rt>しんり</rt></ruby></b>がある。	君の言うことには多くの真理がある。	There is much truth in what you say.	pos::noun rank::4501-5000
<ruby>破損<rt>はそん</rt></ruby>	破損	damage; breakage<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4877</div>	<ruby>窓<rt>まど</rt></ruby>の<b><ruby>破損<rt>はそん</rt></ruby></b><ruby>料<rt>りょう</rt></ruby>を<ruby>請求<rt>せいきゅう</rt></ruby>された。	窓の破損料を請求された。	They charged me for the broken window.	pos::noun rank::4501-5000
<ruby>祝福<rt>しゅくふく</rt></ruby>	祝福	celebration (of a joyous occasion); blessing; giving one's blessing<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4878</div>	<ruby>神<rt>かみ</rt></ruby>があなたを<b><ruby>祝福<rt>しゅくふく</rt></ruby></b>してくれますように。	神があなたを祝福してくれますように。	God bless you!	pos::noun rank::4501-5000
<ruby>総会<rt>そうかい</rt></ruby>	総会	general meeting<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4879</div>	<ruby>多数<rt>たすう</rt></ruby>の<ruby>会員<rt>かいいん</rt></ruby>が<b><ruby>総会<rt>そうかい</rt></ruby></b>に<ruby>出席<rt>しゅっせき</rt></ruby>した。	多数の会員が総会に出席した。	A lot of members assisted at the general meeting.	pos::noun rank::4501-5000
<ruby>育児<rt>いくじ</rt></ruby>	育児	childcare; child-rearing; nursing<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4880</div>	<b><ruby>育児<rt>いくじ</rt></ruby></b><ruby>休暇<rt>きゅうか</rt></ruby>や<ruby>老人<rt>ろうじん</rt></ruby><ruby>介護<rt>かいご</rt></ruby>のための<ruby>休<rt>やす</rt></ruby>みも、<ruby>現在<rt>げんざい</rt></ruby><ruby>日本<rt>にっぽん</rt></ruby>で<ruby>起<rt>お</rt></ruby>きている<ruby>人口<rt>じんこう</rt></ruby><ruby>構成<rt>こうせい</rt></ruby>の<ruby>変動<rt>へんどう</rt></ruby>に<ruby>対応<rt>たいおう</rt></ruby>するために<ruby>必要<rt>ひつよう</rt></ruby>となっているのである。	育児休暇や老人介護のための休みも、現在日本で起きている人口構成の変動に対応するために必要となっているのである。	Child-care leave and time off to care for the aged are needed in order to respond to demographic changes now taking place in Japan.	pos::noun rank::4501-5000
<ruby>西部<rt>せいぶ</rt></ruby>	西部	western part; the west (of a region)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4881</div>	<ruby>遠<rt>とお</rt></ruby>い<b><ruby>西部<rt>せいぶ</rt></ruby></b>にはほとんど<ruby>鉄道<rt>てつどう</rt></ruby>がなかった。	遠い西部にはほとんど鉄道がなかった。	There were almost no railroads out west.	pos::noun rank::4501-5000
<ruby>視界<rt>しかい</rt></ruby>	視界	field of vision; visibility; view<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4882</div>	<ruby>霧<rt>きり</rt></ruby>で<b><ruby>視界<rt>しかい</rt></ruby></b>が１００メートルしかきかなかった。	霧で視界が１００メートルしかきかなかった。	Fog has limited visibility to 100 meters.	pos::noun rank::4501-5000
<ruby>誠実<rt>せいじつ</rt></ruby>	誠実	sincere; honest; faithful<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 4883</div>	<ruby>彼女<rt>かのじょ</rt></ruby>は<b><ruby>誠実<rt>せいじつ</rt></ruby></b>だから<ruby>嘘<rt>うそ</rt></ruby>をついたりしない。	彼女は誠実だから嘘をついたりしない。	She is honest and above telling a lie.	pos::na-adjective rank::4501-5000
<ruby>躊躇<rt>ちゅうちょ</rt></ruby>	躊躇	hesitation; indecision; vacillation<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4884</div>	<b><ruby>躊躇<rt>ちゅうちょ</rt></ruby></b>すれば<ruby>機会<rt>きかい</rt></ruby>は<ruby>二度<rt>にど</rt></ruby>とこない。	躊躇すれば機会は二度とこない。	He who hesitates is lost.	pos::noun rank::4501-5000
<ruby>通行<rt>つうこう</rt></ruby>	通行	passage (of people or vehicles); passing (through); traffic<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4885</div>	<ruby>右側<rt>みぎがわ</rt></ruby><b><ruby>通行<rt>つうこう</rt></ruby></b>をしなさい。	右側通行をしなさい。	Keep to the right.	pos::noun rank::4501-5000
<ruby>鎧<rt>よろい</rt></ruby>	鎧	armor; armour<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4886</div>	<b><ruby>鎧<rt>よろい</rt></ruby></b>をつけている<ruby>人<rt>ひと</rt></ruby>は、<ruby>転<rt>ころ</rt></ruby>ぶと<ruby>大<rt>おお</rt></ruby>きな<ruby>音<rt>おと</rt></ruby>がする。	鎧をつけている人は、転ぶと大きな音がする。	He who wears armor falls with a big crash!	pos::noun rank::4501-5000
<ruby>飲酒<rt>いんしゅ</rt></ruby>	飲酒	drinking alcohol<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4887</div>	<ruby>彼<rt>かれ</rt></ruby>は<b><ruby>飲酒<rt>いんしゅ</rt></ruby></b>について<ruby>私<rt>わたし</rt></ruby>にお<ruby>説教<rt>せっきょう</rt></ruby>した。	彼は飲酒について私にお説教した。	He gave me a lecture on drinking.	pos::noun rank::4501-5000
<ruby>駆使<rt>くし</rt></ruby>	駆使	using freely; making full use of; having a good command of<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4888</div>	<ruby>彼女<rt>かのじょ</rt></ruby>はフランス<ruby>語<rt>ご</rt></ruby>の<b><ruby>駆使<rt>くし</rt></ruby></b><ruby>能力<rt>のうりょく</rt></ruby>においては<ruby>誰<rt>だれ</rt></ruby>にも<ruby>劣<rt>おと</rt></ruby>らない。	彼女はフランス語の駆使能力においては誰にも劣らない。	She is second to none in her command of French.	pos::noun rank::4501-5000
<ruby>駒<rt>こま</rt></ruby>	駒	piece (in shogi, chess, etc.)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4889</div>	<ruby>僕<rt>ぼく</rt></ruby>はボードの<ruby>上<rt>うえ</rt></ruby>の<b><ruby>駒<rt>こま</rt></ruby></b>を<ruby>一<rt>ひと</rt></ruby>つ<ruby>前<rt>まえ</rt></ruby>に<ruby>進<rt>すす</rt></ruby>めた。	僕はボードの上の駒を一つ前に進めた。	I moved a chess piece on the board one forward.	pos::noun rank::4501-5000
あくまでも	あくまでも	to the end; to the bitter end; to the last<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 4890</div>	<ruby>困難<rt>こんなん</rt></ruby>に<ruby>対<rt>たい</rt></ruby>して<b>あくまでも</b><ruby>抵抗<rt>ていこう</rt></ruby>した。	困難に対してあくまでも抵抗した。	He breasted it out against difficulties.	pos::adverb rank::4501-5000
おやすみなさい	おやすみなさい	good night<div style="font-size:12px;color:#a7aebb;margin-top:4px">expression &middot; frequency rank 4891</div>	<b>おやすみなさい</b>、ママ。	おやすみなさい、ママ。	Good night, Mom.	pos::expression rank::4501-5000
かき	かき	oyster; oyster shell<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4892</div>	<ruby>昨晩<rt>さくばん</rt></ruby><ruby>食<rt>た</rt></ruby>べた<b><ruby>牡蛎<rt>かき</rt></ruby></b>に<ruby>当<rt>あ</rt></ruby>たってしまった。	昨晩食べた牡蛎に当たってしまった。	Those oysters I ate last night didn't agree with me.	pos::noun rank::4501-5000
つまみ	つまみ	knob; handle; button<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4893</div>	ビールの<ruby>摘<rt>つ</rt></ruby>まみがほしい。	ビールの摘まみがほしい。	I would like to have something to munch on with my beer.	pos::noun rank::4501-5000
ともに	ともに	together; jointly<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 4894</div>	<ruby>祖父<rt>そふ</rt></ruby>はまだ<ruby>心身<rt>しんしん</rt></ruby>ともにしっかりしています。	祖父はまだ心身ともにしっかりしています。	My grandfather is still sound in mind and body.	pos::adverb rank::4501-5000
なぜなら	なぜなら	because; the reason is; if you want to know why<div style="font-size:12px;color:#a7aebb;margin-top:4px">conjunction &middot; frequency rank 4895</div>	<b>なぜなら</b><ruby>彼女<rt>かのじょ</rt></ruby>はすばらしい<ruby>先生<rt>せんせい</rt></ruby>だからです。	なぜなら彼女はすばらしい先生だからです。	The reason is that she is a wonderful teacher.	pos::conjunction rank::4501-5000
ゴキブリ	ゴキブリ	cockroach<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4896</div>	<b>ゴキブリ</b>は<ruby>昼間<rt>ひるま</rt></ruby>は<ruby>身<rt>み</rt></ruby>をひそめている。	ゴキブリは昼間は身をひそめている。	Cockroaches hide themselves during the day.	pos::noun rank::4501-5000
テンポ	テンポ	tempo<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4897</div>	その<ruby>試合<rt>しあい</rt></ruby>は<b>テンポ</b>が<ruby>遅<rt>おそ</rt></ruby>くおまけに<ruby>退屈<rt>たいくつ</rt></ruby>だった。	その試合はテンポが遅くおまけに退屈だった。	The game was slow, and it was also boring.	pos::noun rank::4501-5000
ネクタイ	ネクタイ	tie; necktie<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4898</div>	その<b>ネクタイ</b>とても<ruby>似合<rt>にあ</rt></ruby>っています。	そのネクタイとても似合っています。	That tie suits you very well.	pos::noun rank::4501-5000
ノウハウ	ノウハウ	know-how; expertise; the ropes<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4899</div>	<ruby>競馬<rt>けいば</rt></ruby>で<ruby>稼<rt>かせ</rt></ruby>ぐ！ありえないほど<ruby>儲<rt>もう</rt></ruby>かる<ruby>競馬<rt>けいば</rt></ruby><b>ノウハウ</b><ruby>集<rt>しゅう</rt></ruby>！	競馬で稼ぐ！ありえないほど儲かる競馬ノウハウ集！	Earn money on the races! Know-how collection on horse racing will have you raking it in!	pos::noun rank::4501-5000
パスポート	パスポート	passport<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4900</div>	<b>パスポート</b>を<ruby>持<rt>も</rt></ruby>っています。	パスポートを持っています。	I have my passport.	pos::noun rank::4501-5000
フォーク	フォーク	fork<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4901</div>	<b>フォーク</b>がありません。	フォークがありません。	There is a fork missing.	pos::noun rank::4501-5000
ユニフォーム	ユニフォーム	uniform<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4902</div>	<ruby>警官<rt>けいかん</rt></ruby>は<ruby>青<rt>あお</rt></ruby>い<b>ユニフォーム</b>を<ruby>着<rt>き</rt></ruby>ている。	警官は青いユニフォームを着ている。	Police officers wear blue uniforms.	pos::noun rank::4501-5000
ライフル	ライフル	rifle<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4903</div>	<ruby>彼<rt>かれ</rt></ruby>はいつも<b>ライフル</b>を<ruby>持<rt>も</rt></ruby>って<ruby>歩<rt>ある</rt></ruby>いている。	彼はいつもライフルを持って歩いている。	He always walks with a rifle.	pos::noun rank::4501-5000
ランナー	ランナー	runner<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4904</div>	トニー<ruby>君<rt>くん</rt></ruby>は<ruby>速<rt>はや</rt></ruby>い<b>ランナー</b>です。	トニー君は速いランナーです。	Tony is a fast runner.	pos::noun rank::4501-5000
リレー	リレー	relay<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4905</div>	<ruby>走者<rt>そうしゃ</rt></ruby>が<b>リレー</b>でバトンを<ruby>渡<rt>わた</rt></ruby>さなければなりません。	走者がリレーでバトンを渡さなければなりません。	A runner must pass the baton in a relay race.	pos::noun rank::4501-5000
<ruby>一色<rt>いっしょく</rt></ruby>	一色	one color<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4906</div>	<ruby>街<rt>まち</rt></ruby>はクリスマスムード<b><ruby>一色<rt>いっしょく</rt></ruby></b>・・・もうじきイブだ。	街はクリスマスムード一色・・・もうじきイブだ。	The streets are in full Christmas mood - it's almost Christmas Eve.	pos::noun rank::4501-5000
<ruby>下<rt>さ</rt></ruby>げる	下げる	to hang; to suspend; to wear (e.g. decoration)<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 4907</div>	<ruby>価格<rt>かかく</rt></ruby>を<b><ruby>下<rt>さ</rt></ruby>げ</b>てくだされば<ruby>条件<rt>じょうけん</rt></ruby>に<ruby>同意<rt>どうい</rt></ruby>します。	価格を下げてくだされば条件に同意します。	I'll agree to the terms if you lower the price.	pos::verb rank::4501-5000
<ruby>休止<rt>きゅうし</rt></ruby>	休止	pause; suspension; rest<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4908</div>	<ruby>霧<rt>きり</rt></ruby>のため<ruby>全<rt>ぜん</rt></ruby><ruby>列車<rt>れっしゃ</rt></ruby>は<ruby>運転<rt>うんてん</rt></ruby><b><ruby>休止<rt>きゅうし</rt></ruby></b>となった。	霧のため全列車は運転休止となった。	Railroad service was suspended because of the fog.	pos::noun rank::4501-5000
<ruby>体育館<rt>たいいくかん</rt></ruby>	体育館	gymnasium<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4909</div>	<ruby>彼<rt>かれ</rt></ruby>は<b><ruby>体育館<rt>たいいくかん</rt></ruby></b>に<ruby>歩<rt>ある</rt></ruby>いて<ruby>入<rt>はい</rt></ruby>って<ruby>行<rt>い</rt></ruby>きませんでした。	彼は体育館に歩いて入って行きませんでした。	He did not walk into the gym.	pos::noun rank::4501-5000
<ruby>入国<rt>にゅうこく</rt></ruby>	入国	entry into a country<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4910</div>	<b><ruby>入国<rt>にゅうこく</rt></ruby></b><ruby>手続<rt>てつづ</rt></ruby>きって<ruby>緊張<rt>きんちょう</rt></ruby>しちゃう。	入国手続きって緊張しちゃう。	I get nervous at immigration.	pos::noun rank::4501-5000
<ruby>入札<rt>にゅうさつ</rt></ruby>	入札	bid; tender; bidding<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4911</div>	<ruby>私<rt>わたし</rt></ruby>は<ruby>彼<rt>かれ</rt></ruby>に<ruby>対抗<rt>たいこう</rt></ruby>して<b><ruby>入札<rt>にゅうさつ</rt></ruby></b>した。	私は彼に対抗して入札した。	I bid against him.	pos::noun rank::4501-5000
<ruby>再発<rt>さいはつ</rt></ruby>	再発	return; relapse; recurrence<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4912</div>	そういう<ruby>事故<rt>じこ</rt></ruby>は<b><ruby>再発<rt>さいはつ</rt></ruby></b>するおそれがある。	そういう事故は再発するおそれがある。	Such an accident is likely to happen again.	pos::noun rank::4501-5000
<ruby>出世<rt>しゅっせ</rt></ruby>	出世	success in life; getting ahead; successful career<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4913</div>	<ruby>彼<rt>かれ</rt></ruby>は<ruby>大<rt>おお</rt></ruby>いに<ruby>努力<rt>どりょく</rt></ruby>して<b><ruby>出世<rt>しゅっせ</rt></ruby></b>した。	彼は大いに努力して出世した。	He exerted himself and made his way in life.	pos::noun rank::4501-5000
<ruby>合宿<rt>がっしゅく</rt></ruby>	合宿	lodging together; training camp; boarding house<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4914</div>	<ruby>心身<rt>しんしん</rt></ruby><ruby>共<rt>ども</rt></ruby>にベストのコンディションで<ruby>新人<rt>しんじん</rt></ruby><ruby>養成<rt>ようせい</rt></ruby><b><ruby>合宿<rt>がっしゅく</rt></ruby></b>に<ruby>臨<rt>のぞ</rt></ruby>みましょう。	心身共にベストのコンディションで新人養成合宿に臨みましょう。	With both mind and body in their best condition, let's look forward to the newcomers' training camp.	pos::noun rank::4501-5000
<ruby>吐<rt>は</rt></ruby>き<ruby>気<rt>け</rt></ruby>	吐き気	nausea; feeling like throwing up; feeling sick<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4915</div>	<b><ruby>吐<rt>は</rt></ruby>き<ruby>気<rt>け</rt></ruby></b>がします。	吐き気がします。	I feel like throwing up.	pos::noun rank::4501-5000
<ruby>器具<rt>きぐ</rt></ruby>	器具	utensil; implement; tool<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4916</div>	<ruby>実験<rt>じっけん</rt></ruby><ruby>用<rt>よう</rt></ruby><b><ruby>器具<rt>きぐ</rt></ruby></b>が<ruby>故障<rt>こしょう</rt></ruby>している。	実験用器具が故障している。	Something is wrong with the experimental apparatus.	pos::noun rank::4501-5000
<ruby>太<rt>ふと</rt></ruby>い	太い	fat; thick<div style="font-size:12px;color:#a7aebb;margin-top:4px">i-adjective &middot; frequency rank 4917</div>	その<ruby>地図<rt>ちず</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>の<b><ruby>太<rt>ふと</rt></ruby>い</b><ruby>線<rt>せん</rt></ruby>は<ruby>道路<rt>どうろ</rt></ruby>を<ruby>示<rt>しめ</rt></ruby>す。	その地図の上の太い線は道路を示す。	The broad lines on the map correspond to roads.	pos::i-adjective rank::4501-5000
<ruby>嫌<rt>いや</rt></ruby>がらせ	嫌がらせ	harassment; pestering<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4918</div>	<ruby>彼女<rt>かのじょ</rt></ruby>はエレベーターの<ruby>中<rt>なか</rt></ruby>で<ruby>性的<rt>せいてき</rt></ruby><b>いやがらせ</b>を<ruby>受<rt>う</rt></ruby>けた。	彼女はエレベーターの中で性的いやがらせを受けた。	She was sexually harassed in an elevator.	pos::noun rank::4501-5000
<ruby>子宮<rt>しきゅう</rt></ruby>	子宮	womb; uterus<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4919</div>	<ruby>子供<rt>こども</rt></ruby>は<b><ruby>子宮<rt>しきゅう</rt></ruby></b>に<ruby>従<rt>したが</rt></ruby>う。	子供は子宮に従う。	The child followeth the womb.	pos::noun rank::4501-5000
<ruby>学期<rt>がっき</rt></ruby>	学期	school term; semester<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4920</div>	<ruby>彼<rt>かれ</rt></ruby>は<ruby>今<rt>こん</rt></ruby><b><ruby>学期<rt>がっき</rt></ruby></b>ほとんど<ruby>勉強<rt>べんきょう</rt></ruby>していない。	彼は今学期ほとんど勉強していない。	He has hardly studied this term.	pos::noun rank::4501-5000
<ruby>小売<rt>こうり</rt></ruby>	小売	retail<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4921</div>	<b><ruby>小売<rt>こうり</rt></ruby></b><ruby>商人<rt>しょうにん</rt></ruby>は<ruby>卸<rt>おろ</rt></ruby>しで<ruby>仕入<rt>しい</rt></ruby>れて<ruby>小売<rt>こう</rt></ruby>りで<ruby>売<rt>う</rt></ruby>る。	小売商人は卸しで仕入れて小売りで売る。	A retail merchant buys wholesale and sells retail.	pos::noun rank::4501-5000
<ruby>展望<rt>てんぼう</rt></ruby>	展望	view; outlook; prospect<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4922</div>	<ruby>両方<rt>りょうほう</rt></ruby>の<b><ruby>展望<rt>てんぼう</rt></ruby></b>にはある<ruby>共通<rt>きょうつう</rt></ruby>のテーマがある。	両方の展望にはある共通のテーマがある。	A common theme underlies both perspectives.	pos::noun rank::4501-5000
<ruby>市立<rt>しりつ</rt></ruby>	市立	municipal; city<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4923</div>	この<ruby>病院<rt>びょういん</rt></ruby>は<b><ruby>市立<rt>しりつ</rt></ruby></b>です。	この病院は市立です。	This hospital is run by the city.	pos::noun rank::4501-5000
<ruby>当店<rt>とうてん</rt></ruby>	当店	this store<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4924</div>	<b><ruby>当店<rt>とうてん</rt></ruby></b>はその<ruby>会社<rt>かいしゃ</rt></ruby>と<ruby>取引<rt>とりひき</rt></ruby><ruby>関係<rt>かんけい</rt></ruby>はありません。	当店はその会社と取引関係はありません。	We have no business relations with the firm.	pos::noun rank::4501-5000
<ruby>彫刻<rt>ちょうこく</rt></ruby>	彫刻	carving; engraving; sculpture<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4925</div>	<ruby>私<rt>わたし</rt></ruby>は<ruby>現代<rt>げんだい</rt></ruby><b><ruby>彫刻<rt>ちょうこく</rt></ruby></b>はよく<ruby>理解<rt>りかい</rt></ruby>できない。	私は現代彫刻はよく理解できない。	I really can't understand modern sculpture.	pos::noun rank::4501-5000
<ruby>我<rt>われ</rt></ruby>ら	我ら	we; us<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 4926</div>	「<ruby>神<rt>かみ</rt></ruby>はわれらの<ruby>救<rt>すく</rt></ruby>いである」と<ruby>司祭<rt>しさい</rt></ruby>は<ruby>言<rt>い</rt></ruby>った。	「神はわれらの救いである」と司祭は言った。	God is our salvation, said the priest.	pos::pronoun rank::4501-5000
<ruby>搭乗<rt>とうじょう</rt></ruby>	搭乗	embarkation; boarding (a ship or aircraft)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4927</div>	みなさま。ようこそご<b><ruby>搭乗<rt>とうじょう</rt></ruby></b><ruby>下<rt>くだ</rt></ruby>さいました。	みなさま。ようこそご搭乗下さいました。	Ladies and gentlemen, welcome aboard.	pos::noun rank::4501-5000
<ruby>敵対<rt>てきたい</rt></ruby>	敵対	hostility; antagonism; opposition<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4928</div>	<ruby>不法<rt>ふほう</rt></ruby><ruby>外国<rt>がいこく</rt></ruby><ruby>人<rt>じん</rt></ruby>に<ruby>対<rt>たい</rt></ruby>して<b><ruby>敵対<rt>てきたい</rt></ruby></b><ruby>的<rt>てき</rt></ruby>な<ruby>態度<rt>たいど</rt></ruby>を<ruby>取<rt>と</rt></ruby>る<ruby>人<rt>ひと</rt></ruby>もいた。	不法外国人に対して敵対的な態度を取る人もいた。	Some people took hostile attitudes toward the illegal aliens.	pos::noun rank::4501-5000
<ruby>断念<rt>だんねん</rt></ruby>	断念	abandoning (hope, plans); giving up<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4929</div>	リーダーは<ruby>絶望<rt>ぜつぼう</rt></ruby>して<ruby>計画<rt>けいかく</rt></ruby>を<b><ruby>断念<rt>だんねん</rt></ruby></b>した。	リーダーは絶望して計画を断念した。	The leader gave up the plan in despair.	pos::noun rank::4501-5000
<ruby>新築<rt>しんちく</rt></ruby>	新築	new building; new construction<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4930</div>	<ruby>息子<rt>むすこ</rt></ruby>に<ruby>家<rt>いえ</rt></ruby>を<b><ruby>新築<rt>しんちく</rt></ruby></b>してあげた。	息子に家を新築してあげた。	I built my son a new house.	pos::noun rank::4501-5000
<ruby>杖<rt>つえ</rt></ruby>	杖	cane; walking stick; staff<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 4931</div>	その<ruby>老人<rt>ろうじん</rt></ruby>は<b><ruby>杖<rt>つえ</rt></ruby></b>にもたれた。	その老人は杖にもたれた。	The old man leaned on his staff.	pos::noun rank::4501-5000
